,Similarity,Mutations,Mutation_Freq,Transitions,Transversions,TT_ratio,Gaps,Insertions,Deletions,CDS_Similarity,CDS_Mutations,CDS_Mutation_Freq,CDS_Transitions,CDS_Transversions,CDS_TT_ratio,CDS_Gaps,CDS_Insertions,CDS_Deletions,nonCDS_Similarity,nonCDS_Mutations,nonCDS_Mutation_Freq,nonCDS_Transitions,nonCDS_Transversions,nonCDS_TT_ratio,nonCDS_Gaps,nonCDS_Insertions,nonCDS_Deletions
7/31/2021_40,0.9995653918159936,13,0.00043460818400641884,9,4,2.25,0,0,0,0.9995537553206096,13,0.0004462446793903611,9,4,2.25,0,0,0,1.0,0,0.0,0,0,0,0,0,0
8/12/2021_41,0.9964562717304092,106,0.0035437282695907997,9,6,1.5,91,50,41,0.9994851022930111,15,0.0005148977069888782,9,6,1.5,0,0,0,0.8833333333333333,91,0.11666666666666667,0,0,0,91,50,41
8/27/2021_42,0.9967571543193368,97,0.003242845680663279,9,4,2.25,84,60,24,0.9995537553206096,13,0.0004462446793903611,9,4,2.25,0,0,0,0.8923076923076922,84,0.1076923076923077,0,0,0,84,60,24
9/2/2021_43,0.9991307836319872,26,0.0008692163680128377,11,3,3.6666666666666665,12,0,12,0.9995194288068103,14,0.0004805711931896197,11,3,3.6666666666666665,0,0,0,0.9846153846153847,12,0.015384615384615385,0,0,0,12,0,12
9/20/2021_44,0.9993313720246055,20,0.0006686279753944905,13,4,3.25,3,0,3,0.9994164492654126,17,0.0005835507345873953,13,4,3.25,0,0,0,0.9961538461538462,3,0.0038461538461538464,0,0,0,3,0,3
10/2/2021_45,0.9993313720246055,20,0.0006686279753944905,15,5,3.0,0,0,0,0.9993134697240148,20,0.000686530275985171,15,5,3.0,0,0,0,1.0,0,0.0,0,0,0,0,0,0
10/4/2021_46,0.9989301952393688,32,0.0010698047606311847,26,6,4.333333333333333,0,0,0,0.9989015515584238,32,0.0010984484415762735,26,6,4.333333333333333,0,0,0,1.0,0,0.0,0,0,0,0,0,0
11/3/2021_47,0.9985958812516715,42,0.00140411874832843,28,9,3.111111111111111,5,5,0,0.9987642455032267,36,0.0012357544967733078,28,8,3.5,0,0,0,0.9923076923076923,6,0.007692307692307693,0,1,0.0,5,5,0
11/20/2021_48,0.9987964696442899,36,0.0012035303557100829,15,16,0.9375,5,0,5,0.9989702045860223,30,0.0010297954139777564,15,15,1.0,0,0,0,0.9923076923076923,6,0.007692307692307693,0,1,0.0,5,0,5
12/1/2021_49,0.9959213693500936,122,0.004078630649906392,16,11,1.4545454545454546,95,95,0,0.99907318412742,27,0.0009268158725799808,16,11,1.4545454545454546,0,0,0,0.8782051282051282,95,0.12179487179487179,0,0,0,95,95,0
12/20/2021_50,0.9991307836319872,26,0.0008692163680128377,19,7,2.7142857142857144,0,0,0,0.9991075106412193,26,0.0008924893587807223,19,7,2.7142857142857144,0,0,0,1.0,0,0.0,0,0,0,0,0,0
